"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","1","","",""
"C2,C4,C7","u1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","3","","",""
"C3","47u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","1","","",""
"C5,C6","22u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","2","","",""
"J1","TYPE-C16PIN","1A:CONN16_C16PIN_SHN","TYPE-C16PIN","1","","",""
"J2","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~","1","","",""
"L1","6u8","Inductor_SMD:L_APV_ANR6045","~","1","","",""
"R1,R2,R7","5k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","3","","",""
"R3","10k2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R4","31k6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R5","21k5","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R6","12k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"U1","~","1A:SP4T Rotary Switch S-2051","","1","","",""
"U2","TPS62933P","Package_TO_SOT_SMD:SOT-583-8","https://www.ti.com/lit/ds/symlink/tps62933.pdf","1","","",""
